date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:14:11	10623/10623	---M--	200	added ('OK')	text/html	date:Fri,%2010%20Jun%202022%2017:21:40%20GMT	https://protexglass.com.pe/	C:/Mis%20lugares%20Web/genesisdelsursac/protexglass.com.pe/index.html	(from )
20:14:11	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Dec%202024%2001:14:09%20GMT	https://protexglass.com.pe/robots.txt		(from )
20:14:11	7610/7610	---M--	200	added ('OK')	text/css	date:Sat,%2016%20Apr%202022%2014:56:00%20GMT	https://protexglass.com.pe/css/estilos-PROTEX.css	C:/Mis%20lugares%20Web/genesisdelsursac/protexglass.com.pe/css/estilos-PROTEX.css	(from https://protexglass.com.pe/)
20:14:11	1659/1659	---M--	200	added ('OK')	text/css	date:Sat,%2016%20Apr%202022%2014:56:01%20GMT	https://protexglass.com.pe/css/estiloscontacto.css	C:/Mis%20lugares%20Web/genesisdelsursac/protexglass.com.pe/css/estiloscontacto.css	(from https://protexglass.com.pe/)
20:14:11	11169/11169	---M--	200	added ('OK')	text/css	date:Sat,%2016%20Apr%202022%2014:56:01%20GMT	https://protexglass.com.pe/css/styles.css	C:/Mis%20lugares%20Web/genesisdelsursac/protexglass.com.pe/css/styles.css	(from https://protexglass.com.pe/)
20:14:12	16952/16952	---M--	200	added ('OK')	text/css	date:Sat,%2016%20Apr%202022%2014:56:00%20GMT	https://protexglass.com.pe/css/animate.min.css	C:/Mis%20lugares%20Web/genesisdelsursac/protexglass.com.pe/css/animate.min.css	(from https://protexglass.com.pe/)
20:14:12	2329/2329	---M--	200	added ('OK')	text/css	date:Sat,%2016%20Apr%202022%2014:56:01%20GMT	https://protexglass.com.pe/css/estilosmenu_submenu.css	C:/Mis%20lugares%20Web/genesisdelsursac/protexglass.com.pe/css/estilosmenu_submenu.css	(from https://protexglass.com.pe/)
20:14:12	5334/5334	---M--	200	added ('OK')	image/x-icon	date:Sat,%2016%20Apr%202022%2014:56:07%20GMT	https://protexglass.com.pe/img/favicon.ico	C:/Mis%20lugares%20Web/genesisdelsursac/protexglass.com.pe/img/favicon.ico	(from https://protexglass.com.pe/)
20:14:13	97163/97163	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/Mis%20lugares%20Web/genesisdelsursac/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://protexglass.com.pe/)
20:14:13	85519/85519	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Apr%202022%2014:56:10%20GMT	https://protexglass.com.pe/img/logo-protex.png	C:/Mis%20lugares%20Web/genesisdelsursac/protexglass.com.pe/img/logo-protex.png	(from https://protexglass.com.pe/)
